opponent_team,pa_count,hits,on_base,runs_scored,re24_value,avg,obp
LT,457,113,130,44,-0.031,0.247,0.284
HT,455,117,151,48,-0.008,0.257,0.332
HH,454,87,126,39,-0.044,0.192,0.278
KT,431,97,123,36,-0.044,0.225,0.285
WO,382,82,116,37,-0.026,0.215,0.304
SK,341,90,116,42,0.002,0.264,0.34
NC,311,78,101,29,-0.032,0.251,0.325
LG,268,69,80,24,-0.036,0.257,0.299
OB,231,53,63,20,-0.047,0.229,0.273
