first_10_avg,last_10_avg,speed_drop,game_id,total_pitches,pitch_count_category
132.5,141.4,-8.900000000000006,20240514SSSK02024,98,많음(81구~)
134.7,137.0,-2.3000000000000114,20240521KTSS02024,98,많음(81구~)
127.3,137.4,-10.100000000000009,20240526SSLT02024,112,많음(81구~)
141.6,138.3,3.299999999999983,20240601HHSS02024,90,많음(81구~)
136.9,135.2,1.700000000000017,20240607SSWO02024,99,많음(81구~)
134.9,138.0,-3.0999999999999943,20240619SKSS02024,114,많음(81구~)
133.4,136.8,-3.4000000000000057,20240625SSLG02024,101,많음(81구~)
128.5,138.4,-9.900000000000006,20240630SSKT12024,121,
134.0,134.1,-0.09999999999999432,20240713SSOB02024,21,적음(~50구)
138.4,143.0,-4.599999999999994,20240720LTSS02024,96,많음(81구~)
135.5,142.3,-6.800000000000011,20240727KTSS02024,112,많음(81구~)
134.4,137.3,-2.9000000000000057,20240802SKSS02024,111,많음(81구~)
133.9,140.5,-6.599999999999994,20240808HHSS02024,93,많음(81구~)
136.8,140.4,-3.5999999999999943,20240814KTSS02024,102,많음(81구~)
132.6,134.5,-1.9000000000000057,20240820OBSS02024,90,많음(81구~)
137.6,135.9,1.6999999999999886,20240825LTSS02024,93,많음(81구~)
133.1,133.9,-0.8000000000000114,20240901HTSS02024,96,많음(81구~)
136.7,135.6,1.0999999999999943,20240908NCSS02024,103,많음(81구~)
136.4,142.2,-5.799999999999983,20240915SSSK02024,69,보통(51-80구)
131.9,133.5,-1.5999999999999943,20240922WOSS02024,103,많음(81구~)
138.0,135.9,2.0999999999999943,20250329SSOB02025,81,많음(81구~)
133.8,136.9,-3.0999999999999943,20250404HHSS02025,84,많음(81구~)
133.8,137.5,-3.6999999999999886,20250410SKSS02025,107,많음(81구~)
133.2,139.3,-6.100000000000023,20250417SSLG02025,83,많음(81구~)
136.1,139.1,-3.0,20250424HTSS02025,93,많음(81구~)
137.5,137.2,0.30000000000001137,20250430SSSK02025,100,많음(81구~)
133.2,142.1,-8.900000000000006,20250506SSHH02025,92,많음(81구~)
135.0,132.7,2.3000000000000114,20250514KTSS02025,111,많음(81구~)
127.6,139.8,-12.200000000000017,20250520SSWO02025,88,많음(81구~)
140.0,142.2,-2.1999999999999886,20250525HTSS02025,92,많음(81구~)
137.7,140.4,-2.700000000000017,20250531SSLG02025,80,보통(51-80구)
142.1,140.5,1.5999999999999943,20250606NCSS02025,87,많음(81구~)
136.4,135.9,0.5,20250617OBSS02025,73,보통(51-80구)
142.1,144.3,-2.200000000000017,20250622SSLT02025,91,많음(81구~)
138.8,138.4,0.4000000000000057,20250628SSWO02025,84,많음(81구~)
127.4,135.2,-7.799999999999983,20250722SKSS02025,101,많음(81구~)
129.8,140.3,-10.5,20250727SSKT02025,80,보통(51-80구)
131.8,140.4,-8.599999999999994,20250802LGSS02025,89,많음(81구~)
140.3,136.9,3.4000000000000057,20250808SSKT02025,93,많음(81구~)
130.7,137.1,-6.400000000000006,20250814HTSS02025,90,많음(81구~)
127.0,139.4,-12.400000000000006,20250820SSNC02025,94,많음(81구~)
129.4,137.2,-7.799999999999983,20250826SSOB02025,85,많음(81구~)
140.0,139.8,0.19999999999998863,20250831SSHH02025,90,많음(81구~)
141.1,142.3,-1.200000000000017,20250907HHSS02025,101,많음(81구~)
138.4,140.1,-1.6999999999999886,20250913KTSS02025,88,많음(81구~)
138.8,141.5,-2.6999999999999886,20250920SSLG02025,90,많음(81구~)
132.0,135.9,-3.9000000000000057,20250926SSLT02025,99,많음(81구~)
