game_id,game_date,season_year,home_team_code,away_team_code,pitcher_team,total_pa,total_pitches,avg_speed,max_speed,min_speed,innings_pitched,days_rest
20230510SSHH02023,2023-05-10,2023,HH,SS,away,23,91,132.96703296703296,145.0,108.0,6,11.0
20230516HTSS02023,2023-05-16,2023,SS,HT,away,23,93,134.51612903225808,146.0,119.0,6,6.0
20230523SSOB02023,2023-05-23,2023,OB,SS,away,26,102,135.3235294117647,146.0,117.0,5,7.0
20230528KTSS02023,2023-05-28,2023,SS,KT,away,22,96,137.15625,147.0,123.0,6,5.0
20230603SSHH02023,2023-06-03,2023,HH,SS,away,23,100,136.22,148.0,118.0,6,6.0
20230609LTSS02023,2023-06-09,2023,SS,LT,away,26,102,137.2549019607843,147.0,113.0,5,6.0
20230621WOSS02023,2023-06-21,2023,SS,WO,away,29,99,134.07070707070707,148.0,107.0,7,12.0
20230627SSLT02023,2023-06-27,2023,LT,SS,away,28,94,134.8404255319149,148.0,113.0,8,6.0
20230702HHSS02023,2023-07-02,2023,SS,HH,away,24,107,133.52336448598132,147.0,109.0,6,5.0
20230712SSHT02023,2023-07-12,2023,HT,SS,away,28,104,137.07692307692307,148.0,109.0,7,10.0
20230722KTSS02023,2023-07-22,2023,SS,KT,away,27,100,136.28,148.0,109.0,7,10.0
20230728SSWO02023,2023-07-28,2023,WO,SS,away,27,102,134.64705882352942,148.0,108.0,7,6.0
20230803HTSS02023,2023-08-03,2023,SS,HT,away,29,97,136.97938144329896,150.0,109.0,6,6.0
20230809SSOB02023,2023-08-09,2023,OB,SS,away,24,103,136.6893203883495,149.0,110.0,6,6.0
20230815LGSS02023,2023-08-15,2023,SS,LG,away,24,108,135.71296296296296,149.0,108.0,6,6.0
20230820HTSS02023,2023-08-20,2023,SS,HT,away,8,33,126.15151515151516,144.0,78.0,3,5.0
20230827WOSS02023,2023-08-27,2023,SS,WO,away,26,96,133.5625,147.0,112.0,7,7.0
20230902NCSS02023,2023-09-02,2023,SS,NC,away,9,39,137.02564102564102,148.0,119.0,2,6.0
20230907SSLT02023,2023-09-07,2023,LT,SS,away,27,104,133.94230769230768,149.0,112.0,7,5.0
20230914KTSS02023,2023-09-14,2023,SS,KT,away,25,103,134.7378640776699,148.0,108.0,6,7.0
20231015SSNC02023,2023-10-15,2023,NC,SS,away,24,107,132.74766355140187,149.0,98.0,5,31.0
20240327SSLG02024,2024-03-27,2024,LG,SS,away,22,98,131.5,147.0,100.0,5,164.0
20240402WOSS02024,2024-04-02,2024,SS,WO,away,23,90,131.98888888888888,145.0,108.0,5,6.0
20240409SSLT02024,2024-04-09,2024,LT,SS,away,23,98,131.40816326530611,146.0,109.0,6,7.0
20240414NCSS02024,2024-04-14,2024,SS,NC,away,23,102,133.58823529411765,147.0,112.0,6,5.0
20240420SSHH02024,2024-04-20,2024,HH,SS,away,21,102,131.97058823529412,145.0,108.0,6,6.0
20240426SSWO02024,2024-04-26,2024,WO,SS,away,26,91,133.83516483516485,146.0,112.0,7,6.0
20240502SSOB02024,2024-05-02,2024,OB,SS,away,23,91,135.1978021978022,149.0,115.0,6,6.0
20240508HTSS02024,2024-05-08,2024,SS,HT,away,23,96,133.22916666666666,146.0,111.0,6,6.0
20240514SSSK02024,2024-05-14,2024,SK,SS,away,27,98,135.68367346938774,147.0,112.0,6,6.0
20240521KTSS02024,2024-05-21,2024,SS,KT,away,23,98,134.39795918367346,146.0,109.0,5,7.0
20240526SSLT02024,2024-05-26,2024,LT,SS,away,27,112,134.50892857142858,148.0,111.0,6,5.0
20240601HHSS02024,2024-06-01,2024,SS,HH,away,27,90,138.35555555555555,147.0,117.0,6,6.0
20240607SSWO02024,2024-06-07,2024,WO,SS,away,23,99,137.06060606060606,148.0,105.0,5,6.0
20240619SKSS02024,2024-06-19,2024,SS,SK,away,26,114,137.2982456140351,147.0,123.0,6,12.0
20240625SSLG02024,2024-06-25,2024,LG,SS,away,25,101,135.66336633663366,147.0,102.0,6,6.0
20240630SSKT12024,2024-06-30,2024,KT,SS,away,25,121,136.70247933884298,145.0,121.0,5,5.0
20240713SSOB02024,2024-07-13,2024,OB,SS,away,7,21,134.47619047619048,145.0,119.0,1,13.0
20240720LTSS02024,2024-07-20,2024,SS,LT,away,27,96,137.9375,147.0,119.0,6,7.0
20240727KTSS02024,2024-07-27,2024,SS,KT,away,24,112,138.375,146.0,122.0,7,7.0
20240802SKSS02024,2024-08-02,2024,SS,SK,away,32,111,136.45945945945945,147.0,119.0,9,6.0
