pa_count,hits,on_base,runs_scored,strikeouts,avg,obp,k_rate
30,7,8,3,1,0.233,0.267,3.3
4,0,1,0,1,0.0,0.25,25.0
44,14,14,3,5,0.318,0.318,11.4
44,13,17,7,7,0.295,0.386,15.9
40,11,11,3,1,0.275,0.275,2.5
5,2,2,1,1,0.4,0.4,20.0
25,4,6,1,5,0.16,0.24,20.0
2,0,0,0,0,0.0,0.0,0.0
30,11,15,7,3,0.367,0.5,10.0
22,10,11,2,0,0.455,0.5,0.0
24,7,7,1,1,0.292,0.292,4.2
24,5,6,3,3,0.208,0.25,12.5
38,16,20,10,3,0.421,0.526,7.9
24,4,5,1,1,0.167,0.208,4.2
26,10,12,1,1,0.385,0.462,3.8
47,13,14,5,7,0.277,0.298,14.9
