기준,평균,표준편차,최소,최대
규정 스트라이크 존,38.354761904761915,2.8342804487383493,30.77,46.59
Shadow 존 (공 반지름),8.701156462585034,0.9499477397354535,5.8,11.66
ABS 스트라이크 존,47.055238095238096,2.991456861673111,39.51,56.1
