pitcher_pcode,pitcher_name,2021,2022,2023,2024,2025
55032,패트릭,,,,,52.8
55040,김동현,,,,,38.98
55043,김재원,,,,,36.17
55046,박건우,,,,,50.44
55130,톨허스트,,,,,52.45
55138,코엔 윈,,,,,54.05
55146,치리노스,,,,,48.51
55167,김영우,,,,,44.14
55215,양재훈,,,,,51.18
55239,잭로그,,,,,52.95
55257,콜어빈,,,,,45.05
55267,홍민규,,,,,45.37
55268,최민석,,,,,47.44
55300,손힘찬,,,,,44.74
55301,이준우,,,,,47.61
55313,정현우,,,,,44.65
55322,로젠버그,,,,,46.96
55342,메르세데스,,,,,51.06
55348,웰스,,,,,48.77
55359,김서준,,,,,42.73
55377,정세영,,,,,43.42
55382,임진묵,,,,,36.73
55394,박정훈,,,,,40.55
55396,윤현,,,,,39.51
55455,배찬승,,,,,43.97
55460,가라비토,,,,,46.38
55526,벨라스케즈,,,,,46.05
55532,감보아,,,,,48.88
55536,데이비슨,,,,,49.07
55566,김태현,,,,,30.85
55568,박세현,,,,,53.33
55610,김태형,,,,,43.38
55632,이성원,,,,,42.86
55633,올러,,,,,49.48
55663,이호민,,,,,43.72
55730,폰세,,,,,48.85
55743,정우주,,,,,50.45
55764,권민규,,,,,44.52
55855,화이트,,,,,47.68
55903,라일리,,,,,49.55
55912,로건,,,,,49.55
55995,김태훈,,,,,39.77
60140,신정락,45.14,51.19,46.41,,
60146,이승현,48.12,51.69,53.46,50.27,46.68
60181,김지용,45.45,49.85,,,
60263,이재학,46.76,47.25,50.09,46.96,
60336,문성현,36.25,48.23,49.68,46.26,
60337,김대유,52.41,50.97,53.13,51.06,50.59
60339,김건태,48.76,42.9,,,
60559,박시영,48.05,47.43,,46.5,40.12
60768,이태양,51.9,53.73,53.82,47.88,49.47
60841,박종훈,50.46,48.45,49.33,47.63,43.5
61101,임찬규,48.7,48.63,51.69,48.38,49.58
61145,이우찬,47.11,49.21,45.55,43.68,39.57
61156,송윤준,52.55,57.58,58.21,,
61268,양현,35.06,35.24,41.99,47.09,35.48
61295,강동연,51.62,50.68,,,
61365,김대우,47.84,56.0,52.91,52.58,
61396,박정준,,49.34,,,
61411,심창민,44.67,41.57,30.65,,
61457,임현준,38.86,,,,
61643,홍건희,50.66,50.97,49.52,43.19,43.61
61666,한승혁,51.88,48.65,48.24,41.87,45.18
61895,서진용,46.72,46.06,47.94,44.42,42.03
62146,최성훈,45.87,49.79,55.38,49.11,
62242,윤명준,50.07,51.07,46.91,,
62263,변시원,,,46.9,,
62360,김태훈,47.49,47.24,51.33,48.37,45.91
62363,한현희,50.88,49.12,51.53,50.23,57.14
62528,김원중,45.15,43.47,44.86,42.35,40.33
62611,임준섭,42.38,50.0,47.74,44.36,
62655,홍성민,48.01,,42.67,,
62754,임기영,48.44,45.38,46.12,42.26,45.0
62869,문승원,47.65,46.38,50.06,46.38,48.92
62920,노건우,43.73,,54.31,,
62937,신재영,43.4,40.85,,,
62951,이형범,38.1,51.84,56.65,50.14,51.26
62966,최금강,42.86,,,,
63103,류원석,41.74,,,,
63145,배재준,46.71,44.57,,,40.89
63248,함덕주,45.45,46.28,46.65,43.01,45.05
63292,박소준,48.56,,,50.0,
63342,조상우,52.93,,,47.97,44.49
63464,윤대경,52.32,50.2,51.94,41.61,
63492,이재익,40.78,56.06,53.38,49.19,45.28
63512,박진형,42.86,,,41.61,40.0
63543,구승민,48.63,47.72,46.51,44.41,45.45
63628,고영창,51.98,50.65,,,
63638,박준표,46.08,52.8,49.3,39.71,
63749,이충호,40.31,33.66,49.61,41.67,
63765,김종수,46.26,49.11,,,45.13
63894,김사윤,46.04,46.09,,45.88,
63914,손정욱,51.85,,,,
63950,장현식,48.16,45.01,49.17,43.11,45.23
63959,임정호,44.46,45.55,51.15,48.01,43.75
63960,이상민,46.19,51.19,53.3,46.3,48.0
63961,윤호솔,47.56,46.14,41.86,41.18,
63991,박진우,41.54,,,,
64001,고영표,48.5,50.14,52.41,48.16,46.42
64017,심재민,48.67,51.47,55.26,,
64021,박세웅,45.71,47.43,47.61,47.01,47.69
64029,류희운,,47.39,47.14,,
64047,조현우,54.08,48.21,62.07,,
64051,이영준,,46.46,,,
64350,하영민,,41.68,46.67,48.63,48.79
64464,이수민,,47.19,,,
64498,구준범,43.14,,,,
64565,이인복,50.81,47.93,46.33,49.06,
64580,김재열,47.23,48.9,53.74,45.38,48.87
64596,김유영,49.38,47.8,,44.15,40.0
64615,차명진,40.17,,,,
64718,최영환,50.67,46.67,47.26,,
64760,황영국,48.11,,,,
64768,조이현,49.02,,51.55,46.77,63.43
64805,이승진,47.04,49.21,47.27,,
64861,이건욱,42.7,55.88,45.06,48.51,
64893,박민호,50.07,47.73,50.58,48.89,
64896,서동민,46.9,49.16,,,
64995,배재환,,,,44.17,42.18
65048,김민수,49.48,53.83,55.08,50.04,49.53
65056,엄상백,52.44,53.71,54.9,53.76,47.88
65057,이창재,51.8,51.52,,,
65058,정성곤,,32.69,46.59,,
65060,주권,45.45,46.45,50.72,45.68,46.91
65062,김재윤,52.44,53.45,57.38,50.19,51.14
65109,백승현,47.9,45.03,49.18,43.41,43.42
65117,이상규,42.75,,46.05,48.81,47.98
65241,채원후,45.49,,40.38,43.14,
65320,최원태,51.58,50.92,51.66,49.2,49.87
65343,김택형,48.26,45.15,,40.0,45.71
65392,김정인,47.7,,,,
65398,임규빈,48.39,,,,
65411,김주온,,36.36,,53.39,
65496,홍정우,47.84,49.87,50.58,53.97,
65516,배제성,44.85,46.6,47.06,,49.6
65522,김강현,,,,46.14,46.37
65616,이민우,50.1,52.81,46.19,48.36,
65639,박정수,43.97,45.78,40.91,43.17,37.36
65643,문경찬,52.15,57.14,63.49,,
65665,이준영,52.17,49.27,47.98,43.18,46.48
65707,주현상,49.54,47.67,53.26,50.84,47.15
65764,김민우,49.72,46.67,48.0,50.2,
65769,김범수,46.07,44.26,47.23,39.06,42.54
65844,박세웅,52.63,33.33,,,
65933,구창모,,52.85,51.03,,61.04
65949,류진욱,45.72,49.37,49.24,47.44,47.0
65964,이우석,35.85,45.05,,,
66018,김선기,47.84,49.68,51.11,45.94,43.77
66047,박세진,,,45.57,47.86,
66064,김태오,,45.74,43.51,,
66068,서의태,,,,42.29,
66145,김대현,44.12,,59.52,42.3,37.93
66160,유재유,37.04,,,,
66201,고봉재,,,43.31,,
66291,이영하,44.48,44.25,49.55,42.11,40.4
66305,박승주,41.03,45.16,46.9,42.53,
66451,최충연,,44.2,44.71,,46.67
66492,김승현,,37.23,44.62,44.79,
66493,임대한,,46.81,,,
66557,한승혁,51.06,,,,
66609,전상현,55.28,48.93,48.43,46.2,50.1
66630,김현준,47.35,50.97,,,
66660,남하준,45.27,49.12,,,
66663,서덕원,50.92,,,,
66741,김재영,,49.61,49.25,,
66858,정동윤,,,,,42.04
66920,최성영,,,51.56,49.03,45.32
66960,정수민,46.32,,,,
67008,이대은,49.24,,,,
67048,이정현,43.55,36.07,,,46.39
67116,오석주,44.29,,50.29,45.67,46.71
67119,고우석,49.49,50.0,50.28,,
67143,손주영,47.38,47.69,57.79,50.29,51.32
67246,김명신,45.32,45.38,50.55,45.84,44.17
67259,문대원,43.08,,,,
67263,최원준,52.71,50.0,53.75,46.78,44.01
67266,박치국,44.65,47.95,48.62,45.64,47.38
67313,브리검,44.29,,,,
67365,양지율,,,,45.17,41.98
67391,김재웅,46.42,47.11,47.28,44.61,
67419,문용익,48.33,41.79,39.66,34.99,41.41
67421,최지광,47.95,,52.1,43.85,
67454,나원탁,,39.64,,,
67467,김시현,,,42.62,,
67539,나균안,49.82,50.36,49.63,46.6,46.53
67588,윤성빈,,,,,40.4
67603,이승호,47.29,47.67,44.16,,
67640,유승철,,44.51,,36.73,36.71
67646,박진태,44.43,,,,
67703,박상원,,48.48,48.3,46.52,48.8
67711,김기탁,48.82,,,,
67737,김진영,50.53,,,,
67828,김성민,42.73,,,41.91,46.02
67954,김진호,,47.93,48.29,,40.18
67956,김태현,35.48,,47.08,48.85,38.24
67962,소이현,41.26,,,53.7,43.7
68036,최이준,,53.09,48.65,48.66,
68043,김민,,54.55,48.51,49.05,45.46
68092,한두솔,,40.95,,46.15,51.78
68130,김영준,,54.84,,45.11,
68159,성동현,,,,,37.66
68200,김민규,48.07,,44.08,42.24,40.7
68220,곽빈,45.88,50.17,51.5,47.15,50.4
68242,정철원,,51.66,47.17,43.23,48.03
68249,박신지,,44.85,46.96,45.07,43.88
68260,현도훈,43.0,,,46.6,
68269,김호준,,,35.59,43.45,41.18
68341,안우진,49.68,50.94,49.52,,
68403,김윤수,44.73,47.31,,40.4,
68415,양창섭,49.29,48.21,53.89,,50.05
68419,최채흥,49.5,,53.96,45.56,47.93
68501,최하늘,,44.86,45.95,43.08,
68529,이승헌,45.18,,,,
68556,정성종,45.55,39.76,47.26,,
68585,김도규,51.35,50.51,46.52,42.98,
68589,김동우,41.04,,,,
68619,윤중현,45.47,47.13,45.26,37.19,52.17
68639,하준영,,46.97,46.16,,49.07
68659,김유신,49.8,44.69,50.44,,
68703,박주홍,41.18,,,,
68797,이승관,39.04,39.8,,,
68830,김정우,,,52.94,,44.78
68848,조성훈,,,47.2,,
68856,최민준,48.58,45.34,50.5,40.48,45.92
68896,이채호,44.23,46.97,49.56,44.3,47.54
68900,김영규,49.86,48.39,51.67,46.54,45.22
68902,신민혁,52.65,54.21,54.17,52.97,51.27
68910,이승헌,51.92,,,,
68928,김시훈,,47.23,46.82,45.87,46.47
69032,쿠에바스,48.62,40.74,52.39,48.92,44.09
69041,손동현,,,54.34,48.77,50.48
69045,알칸타라,,,54.15,49.62,51.94
69047,전용주,,,43.51,43.31,46.48
69054,이상동,36.61,,55.04,47.44,49.01
69068,이선우,,,54.64,46.49,
69103,켈리,45.55,51.55,54.92,49.46,
69104,남호,43.48,,,,
69108,이지강,,39.09,50.3,44.79,45.15
69113,임준형,49.87,47.34,,44.76,44.24
69134,이정용,52.88,49.94,58.09,,49.29
69159,정우영,52.17,48.58,52.62,43.56,26.98
69168,이상영,47.37,,46.43,42.45,
69204,전루건,,44.69,,36.42,
69205,이교훈,48.97,,,48.12,37.8
69213,윤산흠,60.0,42.59,36.05,,46.99
69328,박주성,48.26,39.3,,,49.0
69343,요키시,48.85,49.96,46.2,45.74,
69360,조영건,,,49.02,48.09,46.5
69367,김인범,43.42,,,47.5,
69399,윤정현,51.79,41.53,30.61,41.67,
69439,라이블리,46.49,,,,
69446,원태인,49.7,50.33,49.89,47.32,51.12
69516,김현수,47.31,,,44.23,49.82
69539,서준원,50.29,46.29,44.87,,
69594,박진,,,44.25,49.11,46.95
69620,김기훈,,52.2,46.31,45.38,47.51
69645,장지수,39.15,,,50.48,
69703,오동욱,46.05,,,,
69745,김도현,45.32,49.41,,45.79,48.25
69762,박윤철,,46.92,41.56,,
69813,하재훈,43.21,,,,
69839,백승건,,,49.4,39.81,
69940,루친스키,52.25,53.0,,,
69962,송명기,51.51,49.76,50.73,46.12,
69969,전사민,,51.05,50.38,43.58,50.71
69974,배민서,41.04,,46.96,,
69996,노시훈,42.31,,,,
72523,고효준,46.97,49.29,46.09,44.2,42.86
73117,우규민,48.78,46.62,49.43,53.89,51.47
73211,노경은,48.97,50.83,48.88,43.21,46.84
73738,안영명,54.83,,,,
73801,송은범,39.78,46.0,,47.52,44.51
74359,오주원,58.92,,,,
74513,장원준,47.79,47.74,49.64,,
74857,정우람,50.87,51.69,50.6,,
75138,신재웅,47.4,,,,
75340,전유수,54.92,52.86,,,
75342,이보근,56.95,,,,
75421,오승환,49.76,44.93,48.89,45.57,54.69
75867,김진성,50.84,51.79,52.43,49.86,51.21
76118,원종현,46.13,48.34,55.01,36.36,47.94
76225,김건국,40.0,,52.87,48.17,46.71
76329,이현승,49.36,46.21,,,
76350,김세현,46.02,,,,
76430,김상수,46.35,50.28,45.83,46.78,45.86
76455,차우찬,43.77,,,,
76650,진해수,50.36,48.12,51.34,47.1,
76715,류현진,,,,50.8,48.8
76757,유원상,49.78,,,,
77211,이용찬,51.08,48.94,53.96,44.36,42.42
77263,김강률,52.85,54.15,55.9,49.52,46.92
77318,장시환,46.08,48.22,49.29,44.5,
77446,백정현,48.36,50.2,52.29,53.04,48.55
77637,양현종,,52.19,52.46,51.28,47.68
77829,김광현,,49.62,52.9,46.85,46.54
77927,장필준,46.39,46.15,50.28,50.0,
78148,정찬헌,49.03,50.65,52.59,53.22,
78247,홍상삼,46.92,42.62,,,
78352,임창민,48.69,51.38,50.13,48.58,51.25
78517,하준호,45.19,42.21,43.98,,
78536,김대우,42.38,44.97,,,
79140,최동환,48.41,49.18,50.69,44.24,48.85
79229,유희관,47.33,,,,
79293,오현택,45.97,,,,
79358,강윤구,49.68,47.21,,,
79440,정인욱,35.18,,,,
79545,진명호,46.85,53.02,,,
79764,장민재,50.68,47.58,49.96,47.06,
79847,김태훈,45.65,41.18,,,
