period,count,mean_change,std_change,improved_count,declined_count
2021→2022,182,0.08499999999999999,5.002483333581676,95,87
2022→2023,184,1.2741304347826086,4.420816543564724,122,62
2023→2024,183,-2.947267759562841,4.223766764471984,35,148
2024→2025,180,0.007722222222222067,4.834272065456741,88,92
