pitcher_pcode,pitcher_name,shadow_pitches,shadow_called_strikes,scsr
63342,조상우,444,121,27.25
67246,김명신,96,26,27.08
68419,최채흥,249,67,26.91
76430,김상수,268,72,26.87
54903,최우석,134,36,26.87
76225,김건국,337,90,26.71
69032,쿠에바스,780,207,26.54
65048,김민수,310,82,26.45
73211,노경은,444,117,26.35
69054,이상동,289,76,26.3
78352,임창민,137,36,26.28
54443,레예스,381,100,26.25
55743,정우주,430,112,26.05
54319,김윤하,739,192,25.98
54362,전준표,189,49,25.93
55043,김재원,35,9,25.71
67048,이정현,39,10,25.64
60768,이태양,87,22,25.29
67263,최원준,757,191,25.23
51460,이재희,60,15,25.0
50430,홍원표,32,8,25.0
50206,최종인,36,9,25.0
54263,김택연,417,103,24.7
65062,김재윤,390,96,24.62
65060,주권,278,68,24.46
51154,김진수,33,8,24.24
53259,최준호,186,45,24.19
66609,전상현,445,106,23.82
54913,김민규,38,9,23.68
63512,박진형,38,9,23.68
68159,성동현,76,18,23.68
50662,정해영,451,105,23.28
55267,홍민규,246,57,23.17
69041,손동현,398,92,23.12
52204,이병헌,102,23,22.55
54404,육선엽,246,54,21.95
52330,주승우,282,61,21.63
53615,이도현,103,22,21.36
64768,조이현,93,19,20.43
73801,송은범,73,14,19.18
50641,장재혁,36,6,16.67
50650,최용준,54,9,16.67
55377,정세영,31,5,16.13
