pitcher_pcode,pitcher_name,team_id,total_pitches,regulation_zone_pct,abs_zone_pct,shadow_zone_pct,chase_pct,waste_pct,first_pitch_strike_pct,regulation_zone_count,abs_zone_count,shadow_zone_count
55257,콜어빈,OB,2628,35.81,45.05,9.25,47.11,7.84,48.58,941,1184,243
54063,원상현,KT,1030,36.41,44.95,8.54,44.56,10.49,50.57,375,463,88
52530,이민석,LT,1610,35.59,44.91,9.32,44.78,10.31,45.61,573,723,150
52330,주승우,WO,681,35.68,44.79,9.1,45.67,9.54,43.93,243,305,62
55313,정현우,WO,1662,35.38,44.65,9.27,45.43,9.93,47.17,588,742,154
52639,최지민,HT,1036,37.16,44.59,7.43,44.5,10.91,48.0,385,462,77
63342,조상우,HT,1052,35.55,44.49,8.94,46.86,8.65,46.48,374,468,94
54368,김연주,WO,1003,35.89,44.27,8.37,45.06,10.67,49.81,360,444,84
53613,윤영철,HT,981,36.49,44.24,7.75,45.97,9.79,44.49,358,434,76
53973,목지훈,NC,1226,35.07,44.21,9.14,46.25,9.54,51.47,430,542,112
55167,김영우,LG,981,36.29,44.14,7.85,44.24,11.62,46.48,356,433,77
69032,쿠에바스,KT,1819,35.46,44.09,8.63,48.32,7.59,48.64,645,802,157
67263,최원준,OB,1886,35.79,44.01,8.22,45.81,10.18,45.18,675,830,155
55455,배찬승,SS,953,35.47,43.97,8.5,45.12,10.91,49.13,338,419,81
68249,박신지,OB,964,35.79,43.88,8.09,43.46,12.66,50.4,345,423,78
66018,김선기,WO,1389,35.71,43.77,8.06,45.07,11.16,51.05,496,608,112
54263,김택연,OB,1085,34.65,43.59,8.94,42.95,13.46,49.06,376,473,97
65109,백승현,LG,555,36.04,43.42,7.39,46.31,10.27,47.1,200,241,41
50106,유영찬,LG,602,35.38,43.36,7.97,45.02,11.63,48.1,213,261,48
52206,최지강,OB,541,36.04,43.25,7.21,46.77,9.98,43.8,195,234,39
51516,김진욱,LT,583,34.82,43.05,8.23,45.8,11.15,45.27,203,251,48
52992,이준혁,NC,665,33.68,42.86,9.17,45.56,11.58,53.99,224,285,61
54401,김대호,SS,512,33.2,42.77,9.57,46.88,10.35,41.67,170,219,49
51648,이의리,HT,776,32.73,42.65,9.92,45.62,11.73,37.82,254,331,77
65769,김범수,HH,757,34.74,42.54,7.79,46.1,11.36,43.85,263,322,59
54404,육선엽,SS,625,33.28,42.24,8.96,49.6,8.16,40.0,208,264,56
64995,배재환,NC,1055,32.51,42.18,9.67,46.64,11.18,46.25,343,445,102
67419,문용익,KT,553,32.91,41.41,8.5,48.1,10.49,50.0,182,229,47
53754,김서현,HH,1013,32.48,41.07,8.59,45.9,13.03,40.24,329,416,87
51994,한재승,HT,716,34.5,40.78,6.28,48.6,10.61,37.21,247,292,45
67588,윤성빈,LT,500,34.6,40.4,5.8,46.6,13.0,46.34,173,202,29
66291,이영하,OB,1104,32.79,40.4,7.61,45.47,14.13,41.55,362,446,84
62528,김원중,LT,1044,32.09,40.33,8.24,48.37,11.3,43.41,335,421,86
67954,김진호,NC,1212,32.67,40.18,7.51,46.45,13.37,43.24,396,487,91
55396,윤현,WO,572,30.77,39.51,8.74,46.5,13.99,30.99,176,226,50
