pitcher_pcode,pitcher_name,total_pitches,heart_count,shadow_count,waste_count,regulation_count,heart_pct,shadow_pct,waste_pct,all_strike_pct,regulation_pct,heart_ratio
51111,송승기,2556,423,1057,1076,985,16.55,41.35,42.1,57.9,38.54,28.58
50036,이강준,482,71,208,203,173,14.73,43.15,42.12,57.88,35.89,25.45
54063,원상현,1030,163,433,434,375,15.83,42.04,42.14,57.86,36.41,27.35
77263,김강률,211,30,92,89,81,14.22,43.6,42.18,57.82,38.39,24.59
51867,김건우,1320,231,532,557,498,17.5,40.3,42.2,57.8,37.73,30.28
69516,김현수,277,49,111,117,105,17.69,40.07,42.24,57.76,37.91,30.63
61666,한승혁,965,145,412,408,356,15.03,42.69,42.28,57.72,36.89,26.03
50992,김태경,357,47,159,151,119,13.17,44.54,42.3,57.7,33.33,22.82
55526,벨라스케즈,645,122,250,273,248,18.91,38.76,42.33,57.67,38.45,32.8
69113,임준형,165,31,64,70,65,18.79,38.79,42.42,57.58,39.39,32.63
79140,최동환,348,64,136,148,143,18.39,39.08,42.53,57.47,41.09,32.0
76225,김건국,837,143,337,357,329,17.08,40.26,42.65,57.35,39.31,29.79
67116,오석주,989,153,414,422,367,15.47,41.86,42.67,57.33,37.11,26.98
53613,윤영철,981,160,402,419,358,16.31,40.98,42.71,57.29,36.49,28.47
51460,이재희,147,24,60,63,57,16.33,40.82,42.86,57.14,38.78,28.57
73211,노경은,1091,179,444,468,424,16.41,40.7,42.9,57.1,38.86,28.73
68043,김민,915,154,368,393,330,16.83,40.22,42.95,57.05,36.07,29.5
55610,김태형,461,68,195,198,159,14.75,42.3,42.95,57.05,34.49,25.86
67828,김성민,402,73,156,173,161,18.16,38.81,43.03,56.97,40.05,31.88
53139,박명근,611,102,246,263,219,16.69,40.26,43.04,56.96,35.84,29.31
51516,김진욱,583,85,247,251,203,14.58,42.37,43.05,56.95,34.82,25.6
50211,제환유,297,51,118,128,109,17.17,39.73,43.1,56.9,36.7,30.18
63765,김종수,1048,174,422,452,394,16.6,40.27,43.13,56.87,37.6,29.19
50812,박시후,894,147,361,386,328,16.44,40.38,43.18,56.82,36.69,28.94
52639,최지민,1036,185,403,448,385,17.86,38.9,43.24,56.76,37.16,31.46
63950,장현식,818,134,330,354,295,16.38,40.34,43.28,56.72,36.06,28.88
69047,전용주,284,49,112,123,111,17.25,39.44,43.31,56.69,39.08,30.43
54768,조동욱,1085,180,435,470,412,16.59,40.09,43.32,56.68,37.97,29.27
55257,콜어빈,2628,449,1040,1139,941,17.09,39.57,43.34,56.66,35.81,30.15
69594,박진,1246,211,495,540,468,16.93,39.73,43.34,56.66,37.56,29.89
52530,이민석,1610,252,660,698,573,15.65,40.99,43.35,56.65,35.59,27.63
69108,이지강,948,140,397,411,348,14.77,41.88,43.35,56.65,36.71,26.07
53615,이도현,228,26,103,99,76,11.4,45.18,43.42,56.58,33.33,20.16
76430,김상수,665,108,268,289,243,16.24,40.3,43.46,56.54,36.54,28.72
63959,임정호,368,61,146,161,138,16.58,39.67,43.75,56.25,37.5,29.47
54362,전준표,488,85,189,214,172,17.42,38.73,43.85,56.15,35.25,31.02
73801,송은범,173,24,73,76,51,13.87,42.2,43.93,56.07,29.48,24.74
67263,최원준,1886,300,757,829,675,15.91,40.14,43.96,56.04,35.79,28.38
68830,김정우,364,67,137,160,126,18.41,37.64,43.96,56.04,34.62,32.84
65109,백승현,555,93,218,244,200,16.76,39.28,43.96,56.04,36.04,29.9
55455,배찬승,953,145,389,419,338,15.22,40.82,43.97,56.03,35.47,27.15
52204,이병헌,254,40,102,112,83,15.75,40.16,44.09,55.91,32.68,28.17
67246,김명신,240,38,96,106,84,15.83,40.0,44.17,55.83,35.0,28.36
55267,홍민규,626,103,246,277,243,16.45,39.3,44.25,55.75,38.82,29.51
53259,최준호,409,42,186,181,137,10.27,45.48,44.25,55.75,33.5,18.42
63248,함덕주,404,65,160,179,145,16.09,39.6,44.31,55.69,35.89,28.89
55167,김영우,981,145,401,435,356,14.78,40.88,44.34,55.66,36.29,26.56
54404,육선엽,625,101,246,278,208,16.16,39.36,44.48,55.52,33.28,29.11
50106,유영찬,602,102,232,268,213,16.94,38.54,44.52,55.48,35.38,30.54
55764,권민규,155,23,63,69,59,14.84,40.65,44.52,55.48,38.06,26.74
53973,목지훈,1226,191,489,546,430,15.58,39.89,44.54,55.46,35.07,28.09
55313,정현우,1662,249,671,742,588,14.98,40.37,44.65,55.35,35.38,27.07
50441,황동재,443,67,178,198,147,15.12,40.18,44.7,55.3,33.18,27.35
51526,우강훈,230,43,84,103,84,18.7,36.52,44.78,55.22,36.52,33.86
61643,홍건희,360,50,147,163,127,13.89,40.83,45.28,54.72,35.28,25.38
67365,양지율,262,38,105,119,83,14.5,40.08,45.42,54.58,31.68,26.57
66018,김선기,1389,233,524,632,496,16.77,37.72,45.5,54.5,35.71,30.78
68900,김영규,712,107,281,324,256,15.03,39.47,45.51,54.49,35.96,27.58
54368,김연주,1003,151,395,457,360,15.05,39.38,45.56,54.44,35.89,27.66
52206,최지강,541,90,204,247,195,16.64,37.71,45.66,54.34,36.04,30.61
51648,이의리,776,113,306,357,254,14.56,39.43,46.01,53.99,32.73,26.97
63543,구승민,165,27,62,76,61,16.36,37.58,46.06,53.94,36.97,30.34
61145,이우찬,369,53,146,170,116,14.36,39.57,46.07,53.93,31.44,26.63
54263,김택연,1085,167,417,501,376,15.39,38.43,46.18,53.82,34.65,28.6
67962,소이현,119,17,47,55,43,14.29,39.5,46.22,53.78,36.13,26.56
55359,김서준,227,37,85,105,77,16.3,37.44,46.26,53.74,33.92,30.33
54401,김대호,512,74,201,237,170,14.45,39.26,46.29,53.71,33.2,26.91
63145,배재준,203,36,73,94,71,17.73,35.96,46.31,53.69,34.98,33.03
62754,임기영,260,41,98,121,94,15.77,37.69,46.54,53.46,36.15,29.5
66858,정동윤,421,60,165,196,141,14.25,39.19,46.56,53.44,33.49,26.67
52992,이준혁,665,105,250,310,224,15.79,37.59,46.62,53.38,33.68,29.58
67419,문용익,553,72,223,258,182,13.02,40.33,46.65,53.35,32.91,24.41
51994,한재승,716,109,273,334,247,15.22,38.13,46.65,53.35,34.5,28.53
63512,박진형,105,18,38,49,38,17.14,36.19,46.67,53.33,36.19,32.14
68249,박신지,964,142,372,450,345,14.73,38.59,46.68,53.32,35.79,27.63
77211,이용찬,396,62,149,185,134,15.66,37.63,46.72,53.28,33.84,29.38
72523,고효준,385,50,155,180,139,12.99,40.26,46.75,53.25,36.1,24.39
60841,박종훈,469,84,165,220,170,17.91,35.18,46.91,53.09,36.25,33.73
65769,김범수,757,114,287,356,263,15.06,37.91,47.03,52.97,34.74,28.43
54802,박기호,405,66,148,191,141,16.3,36.54,47.16,52.84,34.81,30.84
67588,윤성빈,500,72,192,236,173,14.4,38.4,47.2,52.8,34.6,27.27
55396,윤현,572,64,238,270,176,11.19,41.61,47.2,52.8,30.77,21.19
67954,김진호,1212,165,473,574,396,13.61,39.03,47.36,52.64,32.67,25.86
55663,이호민,247,27,103,117,85,10.93,41.7,47.37,52.63,34.41,20.77
55995,김태훈,342,44,135,163,109,12.87,39.47,47.66,52.34,31.87,24.58
53754,김서현,1013,149,381,483,329,14.71,37.61,47.68,52.32,32.48,28.11
64995,배재환,1055,158,393,504,343,14.98,37.25,47.77,52.23,32.51,28.68
54913,김민규,100,14,38,48,36,14.0,38.0,48.0,52.0,36.0,26.92
64596,김유영,145,27,48,70,51,18.62,33.1,48.28,51.72,35.17,36.0
55040,김동현,118,23,38,57,39,19.49,32.2,48.31,51.69,33.05,37.7
52731,박준영,103,17,36,50,37,16.5,34.95,48.54,51.46,35.92,32.08
68200,김민규,199,26,76,97,72,13.07,38.19,48.74,51.26,36.18,25.49
62528,김원중,1044,156,379,509,335,14.94,36.3,48.75,51.25,32.09,29.16
66291,이영하,1104,145,420,539,362,13.13,38.04,48.82,51.18,32.79,25.66
68269,김호준,272,33,106,133,91,12.13,38.97,48.9,51.1,33.46,23.74
55394,박정훈,434,59,162,213,136,13.59,37.33,49.08,50.92,31.34,26.7
69205,이교훈,127,13,51,63,39,10.24,40.16,49.61,50.39,30.71,20.31
60559,박시영,167,27,57,83,56,16.17,34.13,49.7,50.3,33.53,32.14
54903,최우석,327,30,134,163,93,9.17,40.98,49.85,50.15,28.44,18.29
54363,손현기,132,18,48,66,36,13.64,36.36,50.0,50.0,27.27,27.27
53006,강건,118,17,40,61,45,14.41,33.9,51.69,48.31,38.14,29.82
65639,박정수,455,46,172,237,136,10.11,37.8,52.09,47.91,29.89,21.1
68159,성동현,239,35,76,128,74,14.64,31.8,53.56,46.44,30.96,31.53
53164,김동규,222,25,76,121,63,11.26,34.23,54.5,45.5,28.38,24.75
53919,신영우,340,40,114,186,100,11.76,33.53,54.71,45.29,29.41,25.97
50641,장재혁,120,17,36,67,27,14.17,30.0,55.83,44.17,22.5,32.08
67956,김태현,102,12,33,57,33,11.76,32.35,55.88,44.12,32.35,26.67
