pitcher_pcode,pitcher_name,team_id,total_pitches,regulation_zone_pct,abs_zone_pct,shadow_zone_pct,waste_pct,first_pitch_strike_pct,regulation_zone_count,abs_zone_count,shadow_zone_count,pitch_group
52530,이민석,LT,1610,35.59,44.91,9.32,10.31,45.61,573,723,150,1000구+
51460,이재희,SS,147,38.78,44.9,6.12,7.48,47.22,57,66,9,100-200구
52330,주승우,WO,681,35.68,44.79,9.1,9.54,43.93,243,305,62,501-1000구
68830,김정우,OB,364,34.62,44.78,10.16,10.16,51.04,126,163,37,201-500구
55313,정현우,WO,1662,35.38,44.65,9.27,9.93,47.17,588,742,154,1000구+
53609,곽도규,HT,121,37.19,44.63,7.44,10.74,64.29,45,54,9,100-200구
52639,최지민,HT,1036,37.16,44.59,7.43,10.91,48.0,385,462,77,1000구+
55764,권민규,HH,155,38.06,44.52,6.45,8.39,54.55,59,69,10,100-200구
73801,송은범,SS,173,29.48,44.51,15.03,11.56,50.98,51,77,26,100-200구
63342,조상우,HT,1052,35.55,44.49,8.94,8.65,46.48,374,468,94,1000구+
54368,김연주,WO,1003,35.89,44.27,8.37,10.67,49.81,360,444,84,1000구+
69113,임준형,KT,165,39.39,44.24,4.85,9.09,52.5,65,73,8,100-200구
53613,윤영철,HT,981,36.49,44.24,7.75,9.79,44.49,358,434,76,501-1000구
53973,목지훈,NC,1226,35.07,44.21,9.14,9.54,51.47,430,542,112,1000구+
67246,김명신,OB,240,35.0,44.17,9.17,9.17,56.14,84,106,22,201-500구
55167,김영우,LG,981,36.29,44.14,7.85,11.62,46.48,356,433,77,501-1000구
69032,쿠에바스,KT,1819,35.46,44.09,8.63,7.59,48.64,645,802,157,1000구+
67263,최원준,OB,1886,35.79,44.01,8.22,10.18,45.18,675,830,155,1000구+
55455,배찬승,SS,953,35.47,43.97,8.5,10.91,49.13,338,419,81,501-1000구
51526,우강훈,LG,230,36.52,43.91,7.39,6.52,49.12,84,101,17,201-500구
68249,박신지,OB,964,35.79,43.88,8.09,12.66,50.4,345,423,78,501-1000구
50036,이강준,WO,482,35.89,43.78,7.88,9.75,40.83,173,211,38,201-500구
66018,김선기,WO,1389,35.71,43.77,8.06,11.16,51.05,496,608,112,1000구+
63959,임정호,NC,368,37.5,43.75,6.25,10.87,43.48,138,161,23,201-500구
55663,이호민,HT,247,34.41,43.72,9.31,13.77,37.31,85,108,23,201-500구
67962,소이현,NC,119,36.13,43.7,7.56,12.61,53.13,43,52,9,100-200구
54802,박기호,SK,405,34.81,43.7,8.89,13.09,50.5,141,177,36,201-500구
54362,전준표,WO,488,35.25,43.65,8.4,8.61,42.45,172,213,41,201-500구
61643,홍건희,OB,360,35.28,43.61,8.33,11.11,39.53,127,157,30,201-500구
54263,김택연,OB,1085,34.65,43.59,8.94,13.46,49.06,376,473,97,1000구+
60841,박종훈,SK,469,36.25,43.5,7.25,10.45,47.06,170,204,34,201-500구
65109,백승현,LG,555,36.04,43.42,7.39,10.27,47.1,200,241,41,501-1000구
55610,김태형,HT,461,34.49,43.38,8.89,11.5,44.25,159,200,41,201-500구
50106,유영찬,LG,602,35.38,43.36,7.97,11.63,48.1,213,261,48,501-1000구
52206,최지강,OB,541,36.04,43.25,7.21,9.98,43.8,195,234,39,501-1000구
50211,제환유,OB,297,36.7,43.1,6.4,9.76,50.0,109,128,19,201-500구
51516,김진욱,LT,583,34.82,43.05,8.23,11.15,45.27,203,251,48,501-1000구
54913,김민규,NC,100,36.0,43.0,7.0,13.0,34.78,36,43,7,100-200구
